"id"|"description"|"possible_year"|"all_digits_pieces_from_text"|"description_digits_removed"|"desc_without_puct"|"short_words_removed"
"26"|25|"high level indexing of user-defined types 1999,\"brian t. tran , jyh-herng chow , michelle jou , jean grandbois , yun wang , you-chin fuh , weidong chen , nelson mendon√ßa mattos\",vldb,"|"1999"|1|"high level indexing of user-defined types     ,\"brian t. tran , jyh-herng chow , michelle jou , jean grandbois , yun wang , you-chin fuh , weidong chen , nelson mendon√ßa mattos\",vldb,"|"high level indexing of user defined types brian t tran jyh herng chow michelle jou jean grandbois yun wang you chin fuh weidong chen nelson mendon√ a mattos vldb"|"high level indexing user defined types brian tran jyh herng chow michelle jou jean grandbois yun wang you chin fuh weidong chen nelson mendon√ mattos vldb"
"27"|26|"pc database systems - present and future philip a. bernstein,,vldb,1994"|"1994"|1|"pc database systems - present and future philip a. bernstein,,vldb,    "|"pc database systems present and future philip a bernstein vldb"|"database systems present and future philip bernstein vldb"
"28"|27|"form-based proxy caching for database-backed web sites,\"jeffrey f. naughton , qiong luo\",vldb,2001"|"2001"|1|"form-based proxy caching for database-backed web sites,\"jeffrey f. naughton , qiong luo\",vldb,    "|"form based proxy caching for database backed web sites jeffrey f naughton qiong luo vldb"|"form based proxy caching for database backed web sites jeffrey naughton qiong luo vldb"
"29"|28|"\"a logical view of structured files tova milo , serge abiteboul , sophie cluet\",,vldb j.,1998"|"1998"|1|"\"a logical view of structured files tova milo , serge abiteboul , sophie cluet\",,vldb j.,    "|"a logical view of structured files tova milo serge abiteboul sophie cluet vldb j"|"logical view structured files tova milo serge abiteboul sophie cluet vldb"
"30"|29|"\"dbglobe : a service-oriented p2p system for global computing evaggelia pitoura , serge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras sigmod record\",,,2003"|"2|2003"|2|"\"dbglobe : a service-oriented p p system for global computing evaggelia pitoura , serge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras sigmod record\",,,    "|"dbglobe a service oriented p p system for global computing evaggelia pitoura serge abiteboul michalis vazirgiannis dieter pfoser george samaras sigmod record"|"dbglobe service oriented system for global computing evaggelia pitoura serge abiteboul michalis vazirgiannis dieter pfoser george samaras sigmod record"
"31"|30|"database patchwork on the internet,\"reinhard braumandl , alfons kemper , donald kossmann\",sigmod conference,1999"|"1999"|1|"database patchwork on the internet,\"reinhard braumandl , alfons kemper , donald kossmann\",sigmod conference,    "|"database patchwork on the internet reinhard braumandl alfons kemper donald kossmann sigmod conference"|"database patchwork the internet reinhard braumandl alfons kemper donald kossmann sigmod conference"
"32"|31|"scientific databases - state of the art and future directions vldb,\"yannis e. ioannidis , maria zemankova\",,1994"|"1994"|1|"scientific databases - state of the art and future directions vldb,\"yannis e. ioannidis , maria zemankova\",,    "|"scientific databases state of the art and future directions vldb yannis e ioannidis maria zemankova"|"scientific databases state the art and future directions vldb yannis ioannidis maria zemankova"
"33"|32|"a generic approach to bulk loading multidimensional index structures vldb,\"bernhard seeger , peter widmayer , jochen van den bercken\",,1997"|"1997"|1|"a generic approach to bulk loading multidimensional index structures vldb,\"bernhard seeger , peter widmayer , jochen van den bercken\",,    "|"a generic approach to bulk loading multidimensional index structures vldb bernhard seeger peter widmayer jochen van den bercken"|"generic approach bulk loading multidimensional index structures vldb bernhard seeger peter widmayer jochen van den bercken"
"34"|33|"\"data bubbles for non-vector data : speeding-up hierarchical clustering in arbitrary metric spaces j√∂rg sander , jianjun zhou\",,vldb,2003"|"2003"|1|"\"data bubbles for non-vector data : speeding-up hierarchical clustering in arbitrary metric spaces j√∂rg sander , jianjun zhou\",,vldb,    "|"data bubbles for non vector data speeding up hierarchical clustering in arbitrary metric spaces j√ rg sander jianjun zhou vldb"|"data bubbles for non vector data speeding hierarchical clustering arbitrary metric spaces sander jianjun zhou vldb"
"35"|34|"efficient snapshot differential algorithms for data warehousing,\"hector garcia-molina , wilburt labio\",vldb,1996"|"1996"|1|"efficient snapshot differential algorithms for data warehousing,\"hector garcia-molina , wilburt labio\",vldb,    "|"efficient snapshot differential algorithms for data warehousing hector garcia molina wilburt labio vldb"|"efficient snapshot differential algorithms for data warehousing hector garcia molina wilburt labio vldb"
"36"|35|"\"integrating triggers and declarative constraints in sql database sytems roberta cochrane , hamid pirahesh , nelson mendon√ßa mattos\",,vldb,1996"|"1996"|1|"\"integrating triggers and declarative constraints in sql database sytems roberta cochrane , hamid pirahesh , nelson mendon√ßa mattos\",,vldb,    "|"integrating triggers and declarative constraints in sql database sytems roberta cochrane hamid pirahesh nelson mendon√ a mattos vldb"|"integrating triggers and declarative constraints sql database sytems roberta cochrane hamid pirahesh nelson mendon√ mattos vldb"
"37"|36|"efficient ir-style keyword search over relational databases,\"yannis papakonstantinou , luis gravano , vagelis hristidis\",vldb,2003"|"2003"|1|"efficient ir-style keyword search over relational databases,\"yannis papakonstantinou , luis gravano , vagelis hristidis\",vldb,    "|"efficient ir style keyword search over relational databases yannis papakonstantinou luis gravano vagelis hristidis vldb"|"efficient style keyword search over relational databases yannis papakonstantinou luis gravano vagelis hristidis vldb"
"38"|37|"\"indexing of now-relative spatio-bitemporal data simonas saltenis , christian s. jensen\",,vldb j.,2002"|"2002"|1|"\"indexing of now-relative spatio-bitemporal data simonas saltenis , christian s. jensen\",,vldb j.,    "|"indexing of now relative spatio bitemporal data simonas saltenis christian s jensen vldb j"|"indexing now relative spatio bitemporal data simonas saltenis christian jensen vldb"
"39"|38|"\"temporal coalescing with now , granularity , and incomplete information sigmod conference\",curtis e. dyreson,,2003"|"2003"|1|"\"temporal coalescing with now , granularity , and incomplete information sigmod conference\",curtis e. dyreson,,    "|"temporal coalescing with now granularity and incomplete information sigmod conference curtis e dyreson"|"temporal coalescing with now granularity and incomplete information sigmod conference curtis dyreson"
"40"|39|"database research at ut arlington sigmod record 2003,\"sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh\",,"|"2003"|1|"database research at ut arlington sigmod record     ,\"sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh\",,"|"database research at ut arlington sigmod record sharma chakravarthy y alp aslandogan ramez elmasri leonidas fegaras jung hwan oh"|"database research arlington sigmod record sharma chakravarthy alp aslandogan ramez elmasri leonidas fegaras jung hwan"
"41"|40|"why decision support fails and how to fix it sigmod record 1995,\"kevin strehlo , ralph kimball\",,"|"1995"|1|"why decision support fails and how to fix it sigmod record     ,\"kevin strehlo , ralph kimball\",,"|"why decision support fails and how to fix it sigmod record kevin strehlo ralph kimball"|"why decision support fails and how fix sigmod record kevin strehlo ralph kimball"
"42"|41|"a low-cost storage server for movie on demand databases 1994,\"alexandros biliris , banu √∂zden , abraham silberschatz , rajeev rastogi\",vldb,"|"1994"|1|"a low-cost storage server for movie on demand databases     ,\"alexandros biliris , banu √∂zden , abraham silberschatz , rajeev rastogi\",vldb,"|"a low cost storage server for movie on demand databases alexandros biliris banu √ zden abraham silberschatz rajeev rastogi vldb"|"low cost storage server for movie demand databases alexandros biliris banu zden abraham silberschatz rajeev rastogi vldb"
"43"|42|"generating call-level interfaces for advanced database application programming vldb,\"theo h√§rder , norbert ritter , udo nink\",,1999"|"1999"|1|"generating call-level interfaces for advanced database application programming vldb,\"theo h√§rder , norbert ritter , udo nink\",,    "|"generating call level interfaces for advanced database application programming vldb theo h√ rder norbert ritter udo nink"|"generating call level interfaces for advanced database application programming vldb theo rder norbert ritter udo nink"
"44"|43|"\"clustering by pattern similarity in large data sets haixun wang , wei wang , philip s. yu , jiong yang 2002\",,sigmod conference,"|"2002"|1|"\"clustering by pattern similarity in large data sets haixun wang , wei wang , philip s. yu , jiong yang     \",,sigmod conference,"|"clustering by pattern similarity in large data sets haixun wang wei wang philip s yu jiong yang sigmod conference"|"clustering pattern similarity large data sets haixun wang wei wang philip jiong yang sigmod conference"
"45"|44|"mocha : a database middleware system featuring automatic deployment of application-specific functionality,\"manuel rodriguez-martinez , joseph j√°j√° , john m. mcgann , nick roussopoulos , zhexuan song , stephen kelley , vadim katz\",sigmod conference,2000"|"2000"|1|"mocha : a database middleware system featuring automatic deployment of application-specific functionality,\"manuel rodriguez-martinez , joseph j√°j√° , john m. mcgann , nick roussopoulos , zhexuan song , stephen kelley , vadim katz\",sigmod conference,    "|"mocha a database middleware system featuring automatic deployment of application specific functionality manuel rodriguez martinez joseph j√ j√ john m mcgann nick roussopoulos zhexuan song stephen kelley vadim katz sigmod conference"|"mocha database middleware system featuring automatic deployment application specific functionality manuel rodriguez martinez joseph john mcgann nick roussopoulos zhexuan song stephen kelley vadim katz sigmod conference"
"46"|45|"\"fact : a learning based web query processing system zengping tian , hongjun lu , yanlei diao , songting chen 2000\",,sigmod conference,"|"2000"|1|"\"fact : a learning based web query processing system zengping tian , hongjun lu , yanlei diao , songting chen     \",,sigmod conference,"|"fact a learning based web query processing system zengping tian hongjun lu yanlei diao songting chen sigmod conference"|"fact learning based web query processing system zengping tian hongjun yanlei diao songting chen sigmod conference"
"47"|46|"sql multimedia and application packages ( sql/mm ) sigmod record 2001,\"jim melton , andrew eisenberg\",,"|"2001"|1|"sql multimedia and application packages ( sql/mm ) sigmod record     ,\"jim melton , andrew eisenberg\",,"|"sql multimedia and application packages sql mm sigmod record jim melton andrew eisenberg"|"sql multimedia and application packages sql sigmod record jim melton andrew eisenberg"
"48"|47|"bellcore 's adapt/x harness system for managing information on internet and intranets amit p. sheth vldb 1996,,,"|"1996"|1|"bellcore 's adapt/x harness system for managing information on internet and intranets amit p. sheth vldb     ,,,"|"bellcore s adapt x harness system for managing information on internet and intranets amit p sheth vldb"|"bellcore adapt harness system for managing information internet and intranets amit sheth vldb"
"49"|48|"xml data management go native or spruce up relational systems ? ( panel abstract ) per-√•ke larson,,sigmod conference,2001"|"2001"|1|"xml data management go native or spruce up relational systems ? ( panel abstract ) per-√•ke larson,,sigmod conference,    "|"xml data management go native or spruce up relational systems panel abstract per √ ke larson sigmod conference"|"xml data management native spruce relational systems panel abstract per larson sigmod conference"
"50"|49|"\"an overview of data warehousing and olap technology surajit chaudhuri , umeshwar dayal\",,sigmod record,1997"|"1997"|1|"\"an overview of data warehousing and olap technology surajit chaudhuri , umeshwar dayal\",,sigmod record,    "|"an overview of data warehousing and olap technology surajit chaudhuri umeshwar dayal sigmod record"|"overview data warehousing and olap technology surajit chaudhuri umeshwar dayal sigmod record"
"51"|50|"staggered striping in multimedia information systems 1994,\"steven berson , richard r. muntz , shahram ghandeharizadeh , xiangyu ju\",sigmod conference,"|"1994"|1|"staggered striping in multimedia information systems     ,\"steven berson , richard r. muntz , shahram ghandeharizadeh , xiangyu ju\",sigmod conference,"|"staggered striping in multimedia information systems steven berson richard r muntz shahram ghandeharizadeh xiangyu ju sigmod conference"|"staggered striping multimedia information systems steven berson richard muntz shahram ghandeharizadeh xiangyu sigmod conference"
"52"|51|"multimedia streaming in large-scale sensor networks with mobile swarms sigmod record,\"mario gerla , kaixin xu\",,2003"|"2003"|1|"multimedia streaming in large-scale sensor networks with mobile swarms sigmod record,\"mario gerla , kaixin xu\",,    "|"multimedia streaming in large scale sensor networks with mobile swarms sigmod record mario gerla kaixin xu"|"multimedia streaming large scale sensor networks with mobile swarms sigmod record mario gerla kaixin"
"53"|52|"how to modify sql queries in order to guarantee sure answers,hans-joachim klein,sigmod record,1994"|"1994"|1|"how to modify sql queries in order to guarantee sure answers,hans-joachim klein,sigmod record,    "|"how to modify sql queries in order to guarantee sure answers hans joachim klein sigmod record"|"how modify sql queries order guarantee sure answers hans joachim klein sigmod record"
"54"|53|"materialization : a powerful and ubiquitous abstraction pattern vldb,\"alain pirotte , esteban zim√°nyi , tatiana yakusheva , david massart\",,1994"|"1994"|1|"materialization : a powerful and ubiquitous abstraction pattern vldb,\"alain pirotte , esteban zim√°nyi , tatiana yakusheva , david massart\",,    "|"materialization a powerful and ubiquitous abstraction pattern vldb alain pirotte esteban zim√ nyi tatiana yakusheva david massart"|"materialization powerful and ubiquitous abstraction pattern vldb alain pirotte esteban zim√ nyi tatiana yakusheva david massart"
"55"|54|"\"dynamic content acceleration : a caching solution to enable scalable dynamic web page generation debra e. vandermeer , krithi ramamritham , helen m. thomas , anindya datta , kaushik dutta 2001\",,sigmod conference,"|"2001"|1|"\"dynamic content acceleration : a caching solution to enable scalable dynamic web page generation debra e. vandermeer , krithi ramamritham , helen m. thomas , anindya datta , kaushik dutta     \",,sigmod conference,"|"dynamic content acceleration a caching solution to enable scalable dynamic web page generation debra e vandermeer krithi ramamritham helen m thomas anindya datta kaushik dutta sigmod conference"|"dynamic content acceleration caching solution enable scalable dynamic web page generation debra vandermeer krithi ramamritham helen thomas anindya datta kaushik dutta sigmod conference"
"56"|55|"data modelling in the large,martin bertram,sigmod record,1994"|"1994"|1|"data modelling in the large,martin bertram,sigmod record,    "|"data modelling in the large martin bertram sigmod record"|"data modelling the large martin bertram sigmod record"
"57"|56|"updating xml,\"daniel s. weld , zachary g. ives , igor tatarinov , alon y. halevy\",sigmod conference,2001"|"2001"|1|"updating xml,\"daniel s. weld , zachary g. ives , igor tatarinov , alon y. halevy\",sigmod conference,    "|"updating xml daniel s weld zachary g ives igor tatarinov alon y halevy sigmod conference"|"updating xml daniel weld zachary ives igor tatarinov alon halevy sigmod conference"
"58"|57|"\"research in information managment at dublin city university alan f. smeaton , mark roantree sigmod record 2002\",,,"|"2002"|1|"\"research in information managment at dublin city university alan f. smeaton , mark roantree sigmod record     \",,,"|"research in information managment at dublin city university alan f smeaton mark roantree sigmod record"|"research information managment dublin city university alan smeaton mark roantree sigmod record"
"59"|58|"the multidimensional database system rasdaman,\"andreas dehmel , peter baumann , norbert widmann , roland ritsch , paula furtado\",sigmod conference,1998"|"1998"|1|"the multidimensional database system rasdaman,\"andreas dehmel , peter baumann , norbert widmann , roland ritsch , paula furtado\",sigmod conference,    "|"the multidimensional database system rasdaman andreas dehmel peter baumann norbert widmann roland ritsch paula furtado sigmod conference"|"the multidimensional database system rasdaman andreas dehmel peter baumann norbert widmann roland ritsch paula furtado sigmod conference"
"60"|59|"\"analyzing energy behavior of spatial access methods for memory-resident data anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan , ning an , mary jane irwin , mahmut t. kandemir vldb\",,,2001"|"2001"|1|"\"analyzing energy behavior of spatial access methods for memory-resident data anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan , ning an , mary jane irwin , mahmut t. kandemir vldb\",,,    "|"analyzing energy behavior of spatial access methods for memory resident data anand sivasubramaniam sudhanva gurumurthi narayanan vijaykrishnan ning an mary jane irwin mahmut t kandemir vldb"|"analyzing energy behavior spatial access methods for memory resident data anand sivasubramaniam sudhanva gurumurthi narayanan vijaykrishnan ning mary jane irwin mahmut kandemir vldb"
"61"|60|"the value of merge-join and hash-join in sql server vldb,goetz graefe,,1999"|"1999"|1|"the value of merge-join and hash-join in sql server vldb,goetz graefe,,    "|"the value of merge join and hash join in sql server vldb goetz graefe"|"the value merge join and hash join sql server vldb goetz graefe"
"62"|61|"efficient execution of joins in a star schema sigmod conference,andreas weininger,,2002"|"2002"|1|"efficient execution of joins in a star schema sigmod conference,andreas weininger,,    "|"efficient execution of joins in a star schema sigmod conference andreas weininger"|"efficient execution joins star schema sigmod conference andreas weininger"
"63"|62|"picodmbs : scaling down database techniques for the smartcard,\"luc bouganim , patrick valduriez , philippe pucheral , christophe bobineau\",vldb,2000"|"2000"|1|"picodmbs : scaling down database techniques for the smartcard,\"luc bouganim , patrick valduriez , philippe pucheral , christophe bobineau\",vldb,    "|"picodmbs scaling down database techniques for the smartcard luc bouganim patrick valduriez philippe pucheral christophe bobineau vldb"|"picodmbs scaling down database techniques for the smartcard luc bouganim patrick valduriez philippe pucheral christophe bobineau vldb"
"64"|63|"multi-dimensional substring selectivity estimation vldb,\"divesh srivastava , olga kapitskaia , raymond t. ng , h. v. jagadish\",,1999"|"1999"|1|"multi-dimensional substring selectivity estimation vldb,\"divesh srivastava , olga kapitskaia , raymond t. ng , h. v. jagadish\",,    "|"multi dimensional substring selectivity estimation vldb divesh srivastava olga kapitskaia raymond t ng h v jagadish"|"multi dimensional substring selectivity estimation vldb divesh srivastava olga kapitskaia raymond jagadish"
"65"|64|"\"the intrinsic problems of structural heterogeneity and an approach to their solution theo h√§rder , joachim thomas , g√ºnter sauter\",,vldb j.,1999"|"1999"|1|"\"the intrinsic problems of structural heterogeneity and an approach to their solution theo h√§rder , joachim thomas , g√ºnter sauter\",,vldb j.,    "|"the intrinsic problems of structural heterogeneity and an approach to their solution theo h√ rder joachim thomas g√ nter sauter vldb j"|"the intrinsic problems structural heterogeneity and approach their solution theo rder joachim thomas nter sauter vldb"
"66"|65|"a database perspective on lotus domino/notes,c. mohan,sigmod conference,1999"|"1999"|1|"a database perspective on lotus domino/notes,c. mohan,sigmod conference,    "|"a database perspective on lotus domino notes c mohan sigmod conference"|"database perspective lotus domino notes mohan sigmod conference"
"67"|66|"\"domains , relations and religious wars rafael camps sigmod record\",,,1996"|"1996"|1|"\"domains , relations and religious wars rafael camps sigmod record\",,,    "|"domains relations and religious wars rafael camps sigmod record"|"domains relations and religious wars rafael camps sigmod record"
