label|ltable_id|rtable_id|possible_year.x|possible_year.y|short_words_removed.x|short_words_removed.y|fuzzy_similarity|fuzzy_similarity_sorted_tokens|fuzzy_similarity_partial_ratio|len_tokens_x|len_tokens_y|len_common_tokens|common_to_smaller_ratio|common_to_longer_ratio
|2224|986|1997|1998|lore database management system for semistructured data sigmod record roy goldman serge abiteboul jennifer widom dallan quass jason mchugh|incremental maintenance for materialized views over semistructured data serge abiteboul jason mchugh michael rys vasilis vassalos janet wiener very large data bases|48|61|51|20|22|7|0.35|0.3181818181818182
|1067|1643|2002|1994|general match subsequence matching method time series databases based generalized windows kyu young whang yang sae moon wook shin han sigmod conference|fast subsequence matching time series databases international conference management data christos faloutsos ranganathan yannis manolopoulos|54|54|55|25|19|8|0.42105263157894735|0.32
|1466|1444|1995|1995|document management database problem rudolf bayer vldb|document management database problem rudolf bayer very large data bases|87|83|95|9|12|8|0.8888888888888888|0.6666666666666666
|333|62|2003|1999|querying structured text xml database jagadish shurug khalifa cong sigmod conference|query rewriting for semistructured data yannis papakonstantinou vasilis vassalos international conference management data|47|48|50|17|14|1|0.07142857142857142|0.058823529411764705
|658|636|1995|1995|fibonacci programming language for object databases antonio albano renzo orsini giorgio ghelli vldb|fibonacci programming language for object databases antonio albano giorgio ghelli renzo orsini the vldb journal the international journal very large data bases|70|77|84|15|22|14|0.9333333333333333|0.6363636363636364
|1646|1463|2000|1995|managing intervals efficiently object relational databases vldb thomas seidl marco tke hans peter kriegel|accessing relational database through object oriented database interface jack orenstein kamber very large data bases|46|47|49|16|18|2|0.125|0.1111111111111111
|78|1396|1994|2001|the ores temporal database management system babis theodoulidis george karvelis jayant chaudhary aziz ait braham simon sou george andrianopoulos sigmod conference|agflow agent based cross enterprise workflow management system very large data bases liangzhao zeng boualem benatallah phuong nguyen anne ngu|43|46|44|20|21|2|0.1|0.09523809523809523
|2559|1885|2003|1996|privacy enhanced data management for next generation commerce vldb irini fundulaki daniel lieuwen bharat kumar richard hull chris clifton arnaud sahuguet|unisql next generation object relational database management system albert andrea phil janus acm sigmod record|41|46|46|23|17|3|0.17647058823529413|0.13043478260869565
|6|696|2002|2002|mining the world wide web information search approach book review aris ouksel sigmod record|proxy based acceleration dynamically generated content the world wide web approach and implementation international conference management data anindya datta kaushik dutta helen thomas debra vandermeer suresha krithi ramamritham|37|40|51|16|31|6|0.375|0.1935483870967742
|893|121|2001|1999|quality service multimedia digital libraries elisa bertino ahmed elmagarmid mohand said hacid sigmod record|contextualizing the information space federated digital libraries acm sigmod record papazoglou hoppenbrouwers|49|51|50|17|16|5|0.3125|0.29411764705882354
|1089|1097|1999|1996|optimization queries with user defined predicates kyuseok shim surajit chaudhuri acm trans database syst|optimization queries with user defined predicates very large data bases surajit chaudhuri kyuseok shim|75|86|76|15|15|11|0.7333333333333333|0.7333333333333333
|1213|1121|"2|1995"|1996|query parallelism staging and implementation yun wang vldb|implementation and analysis parallel collection query language very large data bases dan suciu|41|51|46|9|15|3|0.3333333333333333|0.2
|783|2261|1994|1994|effective deductive object oriented database through language integration howard williams norman paton andrew dinn maria barja alvaro fernandes vldb|integrating structured text retrieval system with object oriented database system very large data bases tak yan jurgen annevelink|47|47|49|24|20|6|0.3|0.25
|542|1097|1997|1996|optimizing queries with universal quantification object oriented and object relational databases guido moerkotte jens clauÃen klaus peithner alfons kemper vldb|optimization queries with user defined predicates very large data bases surajit chaudhuri kyuseok shim|50|50|53|20|15|2|0.13333333333333333|0.1
|1133|2047|1997|2003|extracting entity profiles from semistructured information spaces robert nado scott huffman sigmod record|extracting structured data from web pages arvind arasu hector garcia molina stanford university international conference management data|45|51|46|15|18|2|0.13333333333333333|0.1111111111111111
|363|2279|1996|1994|type safe relaxing schema consistency rules for flexible modeling oodbms marie bellosta eric amiel eric simon eric dujardin vldb|supporting exceptions schema consistency ease schema evolution oodbms eric amiel marie bellosta eric dujardin eric simon very large data bases|64|66|66|21|20|11|0.55|0.5238095238095238
|395|2165|2001|2001|french government activity the conservation data and electronic documents serge novaretti vldb|french government activity the conservation data and electronic documents serge novaretti very large data bases|92|89|97|14|16|13|0.9285714285714286|0.8125
|1950|810|1996|1999|the computation multidimensional aggregates vldb sunita sarawagi ashish gupta rakesh agrawal prasad deshpande jeffrey naughton sameet agarwal raghu ramakrishnan|explaining differences multidimensional aggregates sunita sarawagi very large data bases|50|49|66|22|11|4|0.36363636363636365|0.18181818181818182
|1247|1100|1995|1996|dynamic multi resource load balancing parallel database systems vldb robert marek erhard rahm|dynamic load balancing hierarchical parallel database systems luc bouganim daniela florescu patrick valduriez very large data bases|61|57|64|14|18|7|0.5|0.3888888888888889
|301|1954|1996|1996|providing better support for class decision support queries antonio badia dirk van gucht sudhir rao sigmod conference|sql query optimization reordering for general class queries piyush goel bala iyer international conference management data|47|46|49|18|19|6|0.3333333333333333|0.3157894736842105
|2181|2069|1998|2003|standards practice jim melton andrew eisenberg sigmod record|standards andrew eisenberg acm sigmod record|75|75|79|9|6|5|0.8333333333333334|0.5555555555555556
|366|274|1994|2001|optimization dynamic query evaluation plans goetz graefe richard cole sigmod conference|dissemination dynamic data international conference management data pavan deolasee amol katkar ankur panchbudhe krithi ramamritham prashant shenoy|42|47|50|13|18|3|0.23076923076923078|0.16666666666666666
|805|1675|1995|"233|1994"|orthogonally persistent object systems malcolm atkinson ronald morrison vldb|open object database management systems international conference management data jos blakeley|41|42|42|11|13|2|0.18181818181818182|0.15384615384615385
|757|849|2000|2000|what the nearest neighbor high dimensional spaces charu aggarwal alexander hinneburg daniel keim vldb|what the nearest neighbor high dimensional spaces alexander hinneburg charu aggarwal daniel keim very large data bases|79|90|82|18|21|17|0.9444444444444444|0.8095238095238095
|1914|649|1999|2002|reminiscences influential papers sigmod record jan van den bussche surajit chaudhuri moshe vardi kenneth ross sta grahne jagadish|reminiscences influential papers kenneth ross acm sigmod record|54|63|72|24|10|9|0.9|0.375
|1365|1896|1996|1996|report first international workshop real time database systems sang hyuk son kwei jay lin azer bestavros sigmod record|report from the nsf workshop workflow and process automation information systems amit sheth dimitrios georgakopoulos stef joosten marek rusinkiewicz walt scacchi jack wileden alexander wolf acm sigmod record|48|51|48|19|32|6|0.3157894736842105|0.1875
|1641|1120|1996|1996|analysis dimensional quadtrees using the hausdorff fractal dimension christos faloutsos volker gaede vldb|analysis dimensional quadtrees using the hausdorff fractal dimension very large data bases christos faloutsos volker gaede|89|90|80|15|18|14|0.9333333333333333|0.7777777777777778
|2520|1795|2001|1998|data mining with optimized two dimensional association rules takeshi tokuyama yasuhiko morimoto shinichi morishita takeshi fukuda acm trans database syst|integrating association rule mining with relational database systems alternatives and implications sunita sarawagi shiby thomas rakesh agrawal international conference management data|44|51|47|19|23|5|0.2631578947368421|0.21739130434782608
|2008|2243|2003|1994|description logics for semantic query optimization object oriented database systems claudio sartori sonia bergamaschi domenico beneventano acm trans database syst|odefs file system interface object oriented database very large data bases narain gehani jagadish william roome|49|49|54|20|22|3|0.15|0.13636363636363635
|2504|7|1994|"246|1999"|the database research group eth zurich hans schek moira norrie gerhard weikum stephen blott sigmod record|the jungle database search engine michael hlen linas bukauskas curtis dyreson international conference management data|46|39|47|20|18|2|0.1111111111111111|0.1
|2509|342|1999|2001|editor notes michael franklin sigmod record|editorial richard snodgrass acm transactions database systems tods|45|48|47|8|9|0|0.0|0.0
|616|1402|"3|2001"|"237|2000"|tree spatio temporal access method for timestamp and interval queries dimitris papadias yufei tao vldb|the tree branched and temporal access method very large data bases linan jiang betty salzberg david lomet manuel barrena garc|51|49|52|18|23|6|0.3333333333333333|0.2608695652173913
|1091|1542|1998|1995|introduction special issue multimedia databases tamer zsu stavros christodoulakis vldb|indexing multimedia databases christos faloutsos international conference management data|44|49|44|14|11|3|0.2727272727272727|0.21428571428571427
|1933|171|1998|"8|1998"|web site management database problem daniela florescu dan suciu alon levy vldb|database systems management and oracle gregory doherty international conference management data|46|49|48|15|13|2|0.15384615384615385|0.13333333333333333
|1788|78|2003|2000|supporting top join queries relational databases walid aref ahmed elmagarmid ihab ilyas vldb|closest pair queries spatial databases antonio corral yannis manolopoulos yannis theodoridis michael vassilakopoulos international conference management data|43|43|51|17|19|3|0.17647058823529413|0.15789473684210525
|2550|1178|2000|1998|guest editorial malcolm atkinson vldb|guest editorial matthias jarke the vldb journal the international journal very large data bases|49|46|68|7|13|3|0.42857142857142855|0.23076923076923078
|1445|980|1998|1998|xmas extensible main memory storage system for high performance applications hong kim yong sik kwon sang kyun cha jang park byoung dae park sangho lee sigmod conference|datablitz high performance main memory storage manager jerry baulier philip bohannon gogate joshi gupta khivesera henry korth peter mcilroy miller narayan nemeth rajeev rastogi abraham silberschatz sudarshan very large data bases|42|45|46|29|38|5|0.1724137931034483|0.13157894736842105
|361|46|1998|1999|datablitz high performance main memory storage manager narayan joshi nemeth abraham silberschatz henry korth khivesera jerry baulier sudarshan philip bohannon peter mcilroy miller gogate rajeev rastogi gupta vldb|datablitz storage manager main memory database performance for critical applications baulier bohannon gogate gupta haldar international conference management data|46|52|46|35|25|14|0.56|0.4
|2232|1976|1998|1996|query unnesting object oriented databases leonidas fegaras sigmod conference|structures for manipulating proposed updates object oriented databases michael doherty richard hull mohammed rupawalla international conference management data|49|47|58|10|21|5|0.5|0.23809523809523808
|1843|106|1999|1999|improving database design through the analysis relationships veda storey terence barron debabrata dey acm trans database syst|database design for incomplete relations mark levene george loizou acm transactions database systems tods|55|55|52|19|14|3|0.21428571428571427|0.15789473684210525
|611|2092|2003|2003|rondo programming platform for generic model management philip bernstein erhard rahm sergey melnik sigmod conference|rondo programming platform for generic model management sergey melnik erhard rahm philip bernstein international conference management data|70|84|72|16|19|15|0.9375|0.7894736842105263
|746|688|1996|2002|lore lightweight object repository for semistructured data janet wiener jason mchugh serge abiteboul qingshan luo anand rajaraman dallan quass jeffrey ullman roy goldman hugo rivero jennifer widom svetlozar nestorov kevin haas sigmod conference|qursed querying and reporting semistructured data international conference management data yannis papakonstantinou michalis petropoulos vasilis vassalos|43|47|46|36|17|3|0.17647058823529413|0.08333333333333333
|1064|441|2001|2000|progressive approximate aggregate queries with multi resolution tree structure iosif lazaridis sharad mehrotra sigmod conference|approximating multi dimensional aggregate range queries over real attributes dimitrios gunopulos george kollios vassilis tsotras carlotta domeniconi international conference management data|48|48|48|16|24|4|0.25|0.16666666666666666
|2071|627|1995|"1995|252"|realm based spatial data types the rose algebra markus schneider ralf hartmut ting vldb|realm based spatial data types the rose algebra the vldb journal the international journal very large data bases ralf hartmut ting markus schneider|64|75|70|16|21|14|0.875|0.6666666666666666
|361|1645|1998|1994|datablitz high performance main memory storage manager narayan joshi nemeth abraham silberschatz henry korth khivesera jerry baulier sudarshan philip bohannon peter mcilroy miller gogate rajeev rastogi gupta vldb|quickstore high performance mapped object store seth white david dewitt international conference management data|41|41|48|35|18|4|0.2222222222222222|0.11428571428571428
|1177|17|2001|1999|supervised wrapper generation with lixto sergio flesca robert baumgartner georg gottlob vldb|xjml based wrapper generator for web information extraction ling liu wei han david buttler calton wei tang international conference management data|45|42|50|12|24|1|0.08333333333333333|0.041666666666666664
|179|670|2000|2002|image mining iris integrated retinal information system kheng guan goh wynne hsu mong lee sigmod conference|supply chain infrastructures system integration and information sharing michael ball meng louiqa raschid zhengying zhao acm sigmod record|49|51|50|18|20|3|0.16666666666666666|0.15
|1753|103|1994|1999|introduction spatial database systems vldb ralf hartmut ting|nsf workshop industrial academic cooperation database systems mike carey len seligman acm sigmod record|46|41|52|12|16|2|0.16666666666666666|0.125
|1486|917|1994|2002|editor notes arie segev sigmod record|editorial peter apers stefano ceri richard snodgrass the vldb journal the international journal very large data bases|35|36|51|7|16|0|0.0|0.0
|1920|644|2001|2002|efficient evaluation xml middle ware queries mary fernandez dan suciu atsuyuki morishima sigmod conference|efficient evaluation queries mediator for websources vladimir zadorozhny louiqa raschid maria esther vidal tolga urhan laura bright international conference management data|51|54|55|16|25|5|0.3125|0.2
|1168|1273|1996|2000|cost based optimization for magic algebra and implementation sigmod conference hamid pirahesh cliff leung sudarshan praveen seshadri divesh srivastava raghu ramakrishnan joseph hellerstein peter stuckey|context based prefetch optimization for implementing objects relations philip bernstein shankar pal david shutt the vldb journal the international journal very large data bases|49|50|48|30|25|3|0.12|0.1
|77|463|1995|2000|static analysis techniques for predicting the behavior active database rules alexander aiken jennifer widom joseph hellerstein acm trans database syst|algebraic approach static analysis active database rules acm transactions database systems tods elena baralis jennifer widom|47|69|49|21|19|9|0.47368421052631576|0.42857142857142855
|1107|1535|1995|1995|the ecrc multi database system sigmod conference heribert schÃ willem jonker|the naos system collet coupaye international conference management data|45|52|46|12|13|3|0.25|0.23076923076923078
|690|171|2001|"8|1998"|supporting containment queries relational database management systems sigmod conference guy lohman david dewitt qiong luo jeffrey naughton chun zhang|database systems management and oracle gregory doherty international conference management data|41|55|50|24|13|5|0.38461538461538464|0.20833333333333334
|1128|56|1998|"214|1999"|towards theory cost management for digital libraries and electronic commerce prasad sistla robert sloan yelena yesha ouri wolfson acm trans database syst|data management issues electronic commerce tamer zsu international conference management data|52|50|56|25|13|4|0.3076923076923077|0.16
|944|680|2002|2002|efficient algorithms for minimizing tree pattern queries prakash ramanan sigmod conference|efficient algorithms for minimizing tree pattern queries prakash ramanan international conference management data|82|79|88|11|15|10|0.9090909090909091|0.6666666666666666
|839|1459|1998|1995|secure buffering firm real time database systems binto george jayant haritsa vldb|index concurrency control firm real time database systems brajesh goyal jayant haritsa seshadri srinivasan very large data bases|62|60|74|14|22|9|0.6428571428571429|0.4090909090909091
|2565|2039|2003|2003|spectral bloom filters yossi matias saar cohen sigmod conference|spectral bloom filters saar cohen yossi matias international conference management data|65|73|69|9|13|8|0.8888888888888888|0.6153846153846154
|122|1752|2001|1997|sql and management external data sigmod record jan eike michels jim melton krishna kulkarni peter schwarz kathy zeidenstein vanja josifovski|management semistructured data dan suciu acm sigmod record|38|42|59|23|9|5|0.5555555555555556|0.21739130434782608
|163|715|2003|2002|xsearch semantic search engine for xml yaron kanza yehoshua sagiv sara cohen jonathan mamou vldb|xcache semantic caching system for xml queries chen elke rundensteiner song wang international conference management data|53|44|52|16|20|4|0.25|0.2
|485|1052|1999|1996|specification and implementation exceptions workflow management systems stefano paraboschi stefano ceri fabio casati giuseppe pozzi acm trans database syst|the design and implementation sequence database system praveen seshadri miron livny raghu ramakrishnan very large data bases|51|54|50|20|19|4|0.21052631578947367|0.2
|2268|646|2000|2002|approximating multi dimensional aggregate range queries over real attributes carlotta domeniconi vassilis tsotras george kollios dimitrios gunopulos sigmod conference|processing complex aggregate queries over data streams alin dobra minos garofalakis johannes gehrke rajeev rastogi international conference management data|52|50|53|20|20|4|0.2|0.2
|452|1873|2003|1996|report the first international conference ontologies databases and applications semantics karl aberer sigmod record|report first international workshop real time database systems azer bestavros kwei jay lin sang son acm sigmod record|63|62|63|16|19|6|0.375|0.3157894736842105
|1329|1675|1996|"233|1994"|act net the active database management system manifesto rulebase adbms features sigmod record|open object database management systems international conference management data jos blakeley|55|56|56|15|13|4|0.3076923076923077|0.26666666666666666
|1728|999|1998|1998|optimal histograms with quality guarantees muthukrishnan jagadish kenneth sevcik torsten suel nick koudas viswanath poosala vldb|optimal histograms with quality guarantees very large data bases jagadish nick koudas muthukrishnan viswanath poosala kenneth sevcik torsten suel|64|91|66|20|23|19|0.95|0.8260869565217391
|2295|1914|1997|1997|min max compression methods for medical image databases john tyler kosmas karadimitriou sigmod record|min max compression methods for medical image databases acm sigmod record kosmas karadimitriou john tyler|83|98|83|15|16|15|1.0|0.9375
|1542|591|1997|1994|extraction object oriented structures from existing relational databases julia hodges shekar ramanathan sigmod record|index configuration object oriented databases elisa bertino the vldb journal the international journal very large data bases|51|48|52|16|17|3|0.1875|0.17647058823529413
|478|2059|2003|"246|2003"|using sets feature vectors for similarity search voxelized cad objects martin pfeifle hans peter kriegel stefan brecheisen peer krÃ ger matthias schubert sigmod conference|using sets feature vectors for similarity search voxelized cad objects hans peter kriegel stefan brecheisen peer ger martin pfeifle matthias schubert international conference management data|82|89|85|26|28|24|0.9230769230769231|0.8571428571428571
|229|1676|1994|1994|the aditi deductive database system kotagiri ramamohanarao david kemp jayen vaghani tim leask james harland peter stuckey zoltan somogyi vldb|xsb deductive database konstantinos sagonas terrance swift david warren international conference management data|47|46|48|23|18|4|0.2222222222222222|0.17391304347826086
|482|109|2001|1999|global transaction support for workflow management systems from formal specification practical implementation paul grefen peter apers jochem vonk vldb|specification and implementation exceptions workflow management systems fabio casati stefano ceri stefano paraboschi guiseppe pozzi acm transactions database systems tods|49|58|51|25|21|5|0.23809523809523808|0.2
|1646|1885|2000|1996|managing intervals efficiently object relational databases vldb thomas seidl marco tke hans peter kriegel|unisql next generation object relational database management system albert andrea phil janus acm sigmod record|53|52|54|16|17|2|0.125|0.11764705882352941
|2185|1511|1996|1995|further improvements integrity constraint checking for stratifiable deductive databases sin yeung lee tok wang ling vldb|temporal conditions and integrity constraints active database systems international conference management data prasad sistla ouri wolfson|52|46|56|17|20|2|0.11764705882352941|0.1
|2571|1472|1997|1995|analysis locking behavior three real database systems alan jay smith vigyan singhal vldb|managing intra operator parallelism parallel database systems manish mehta david dewitt very large data bases|50|45|51|16|17|4|0.25|0.23529411764705882
|757|67|2000|2000|what the nearest neighbor high dimensional spaces charu aggarwal alexander hinneburg daniel keim vldb|finding generalized projected clusters high dimensional spaces charu aggarwal philip international conference management data|59|50|61|18|20|7|0.3888888888888889|0.35
|1441|1618|1994|1994|oracle media server providing consumer based interactive access multimedia data sigmod conference mark porter andrew laursen jeffrey olkin|oracle media server providing consumer based interactive access multimedia data andrew laursen jeffrey olkin mark porter international conference management data|73|86|79|19|22|18|0.9473684210526315|0.8181818181818182
|1834|220|1994|1999|dynamic maintenance data distribution for selectivity estimation vldb kyu young whang gio wiederhold sang wook kim|selectivity estimation spatial databases swarup acharya viswanath poosala sridhar ramaswamy international conference management data|38|46|39|18|17|4|0.23529411764705882|0.2222222222222222
|1390|1794|1999|1998|aqua fast decision support systems using approximate query answers vldb swarup acharya phillip gibbons viswanath poosala|new sampling based summary statistics for improving approximate query answers phillip gibbons yossi matias international conference management data|53|47|58|18|21|6|0.3333333333333333|0.2857142857142857
|125|272|2001|2001|review real time virtual walkthrough system sigmod conference yixin ruan zhiyong huang kian lee tan jason chionh lidan shou|review real time virtual walkthrough system shou chionh huang ruan kian lee tan international conference management data|68|78|70|20|25|15|0.75|0.6
|2209|1586|1997|1995|temporal aggregation active database rules sigmod conference iakovos motakis carlo zaniolo|adaptive parallel aggregation algorithms ambuj shatdal jeffrey naughton international conference management data|49|55|48|12|15|2|0.16666666666666666|0.13333333333333333
|2288|1075|2000|1997|information integration the momis project demonstration vldb michele melchiori silvana castano malvezzi domenico beneventano guidetti alberto corni sonia bergamaschi maurizio vincini|using probabilistic information data integration daniela florescu daphne koller alon levy very large data bases|42|49|47|23|16|2|0.125|0.08695652173913043
|988|1863|1997|"1997|225"|materialized views selection multidimensional database vldb ernest teniente elena baralis stefano paraboschi|quasi cubes exploiting approximations multidimensional databases daniel barbar mark sullivan acm sigmod record|53|51|54|14|14|2|0.14285714285714285|0.14285714285714285
|2490|1033|1997|1997|efficient cost driven index selection tool for microsoft sql server vldb surajit chaudhuri vivek narasayya|efficient cost driven index selection tool for microsoft sql server surajit chaudhuri vivek narasayya very large data bases|89|89|95|17|20|16|0.9411764705882353|0.8
|135|305|1995|2001|semint system prototype for semantic integration heterogeneous databases wen syan chris clifton sigmod conference|spartan model based semantic compression system for massive data tables shivnath babu minos garofalakis rajeev rastogi international conference management data|44|53|47|17|22|5|0.29411764705882354|0.22727272727272727
|1248|778|1999|1998|update propagation protocols for replicated databases raghavan komondoor abraham silberschatz yuri breitbart seshadri rajeev rastogi sigmod conference|binding propagation disjunctive databases sergio greco very large data bases|43|40|52|18|11|2|0.18181818181818182|0.1111111111111111
|2091|1583|1997|1995|the database and information system research group the university ulm sigmod record peter dadam wolfgang klas|the database group university hagen gunter schlageter thomas berkel eberhard heuel silke mittrach andreas scherer wolfgang wilkes acm sigmod record|50|63|49|17|22|9|0.5294117647058824|0.4090909090909091
