"id"|"description"|"possible_year"|"all_digits_pieces_from_text"|"description_digits_removed"|"desc_without_puct"|"short_words_removed"
"11"|10|"\"design and implementation of rmp : a virtual electronic market place susanne boll , wolfgang klas , bernard battaglin 1998\",,acm sigmod record,"|"1998"|1|"\"design and implementation of rmp : a virtual electronic market place susanne boll , wolfgang klas , bernard battaglin     \",,acm sigmod record,"|"design and implementation of rmp a virtual electronic market place susanne boll wolfgang klas bernard battaglin acm sigmod record"|"design and implementation rmp virtual electronic market place susanne boll wolfgang klas bernard battaglin acm sigmod record"
"12"|11|"\"discovering internet marketing intelligence through online analytical web usage mining alex g. b &#252; chner , maurice d. mulvenna\",,acm sigmod record,1998"|"252|1998"|2|"\"discovering internet marketing intelligence through online analytical web usage mining alex g. b &#   ; chner , maurice d. mulvenna\",,acm sigmod record,    "|"discovering internet marketing intelligence through online analytical web usage mining alex g b chner maurice d mulvenna acm sigmod record"|"discovering internet marketing intelligence through online analytical web usage mining alex chner maurice mulvenna acm sigmod record"
"13"|12|"component-based e-commerce : assessment of current practices and future directions 1998,\"martin bichler , arie segev , j. leon zhao\",acm sigmod record,"|"1998"|1|"component-based e-commerce : assessment of current practices and future directions     ,\"martin bichler , arie segev , j. leon zhao\",acm sigmod record,"|"component based e commerce assessment of current practices and future directions martin bichler arie segev j leon zhao acm sigmod record"|"component based commerce assessment current practices and future directions martin bichler arie segev leon zhao acm sigmod record"
"14"|13|"building database-driven electronic catalogs sherif danish acm sigmod record,,,1998"|"1998"|1|"building database-driven electronic catalogs sherif danish acm sigmod record,,,    "|"building database driven electronic catalogs sherif danish acm sigmod record"|"building database driven electronic catalogs sherif danish acm sigmod record"
"15"|14|"xml and electronic commerce : enabling the network economy acm sigmod record 1998,\"bart meltzer , robert glushko\",,"|"1998"|1|"xml and electronic commerce : enabling the network economy acm sigmod record     ,\"bart meltzer , robert glushko\",,"|"xml and electronic commerce enabling the network economy acm sigmod record bart meltzer robert glushko"|"xml and electronic commerce enabling the network economy acm sigmod record bart meltzer robert glushko"
"16"|15|"\"a workflow-based electronic marketplace on the web asuman dogac , ilker durusoy , sena arpinar , nesime tatbul , pinar koksal , ibrahim cingil , nazife dimililer 1998\",,acm sigmod record,"|"1998"|1|"\"a workflow-based electronic marketplace on the web asuman dogac , ilker durusoy , sena arpinar , nesime tatbul , pinar koksal , ibrahim cingil , nazife dimililer     \",,acm sigmod record,"|"a workflow based electronic marketplace on the web asuman dogac ilker durusoy sena arpinar nesime tatbul pinar koksal ibrahim cingil nazife dimililer acm sigmod record"|"workflow based electronic marketplace the web asuman dogac ilker durusoy sena arpinar nesime tatbul pinar koksal ibrahim cingil nazife dimililer acm sigmod record"
"17"|16|"\"dbis-toolkit : adaptable middleware for large scale data delivery mehmet altinel , demet aksoy , thomas baby , michael franklin , william shapiro , stan zdonik international conference on management of data\",,,1999"|"1999"|1|"\"dbis-toolkit : adaptable middleware for large scale data delivery mehmet altinel , demet aksoy , thomas baby , michael franklin , william shapiro , stan zdonik international conference on management of data\",,,    "|"dbis toolkit adaptable middleware for large scale data delivery mehmet altinel demet aksoy thomas baby michael franklin william shapiro stan zdonik international conference on management of data"|"dbis toolkit adaptable middleware for large scale data delivery mehmet altinel demet aksoy thomas baby michael franklin william shapiro stan zdonik international conference management data"
"18"|17|"\"an xjml-based wrapper generator for web information extraction ling liu , wei han , david buttler , calton pu , wei tang 1999\",,international conference on management of data,"|"1999"|1|"\"an xjml-based wrapper generator for web information extraction ling liu , wei han , david buttler , calton pu , wei tang     \",,international conference on management of data,"|"an xjml based wrapper generator for web information extraction ling liu wei han david buttler calton pu wei tang international conference on management of data"|"xjml based wrapper generator for web information extraction ling liu wei han david buttler calton wei tang international conference management data"
"19"|18|"\"database patchwork on the internet reinhard braumandl , alfons kemper , donald kossmann international conference on management of data\",,,1999"|"1999"|1|"\"database patchwork on the internet reinhard braumandl , alfons kemper , donald kossmann international conference on management of data\",,,    "|"database patchwork on the internet reinhard braumandl alfons kemper donald kossmann international conference on management of data"|"database patchwork the internet reinhard braumandl alfons kemper donald kossmann international conference management data"
"20"|19|"domino : databases for moving objects tracking international conference on management of data,\"ouri wolfson , prasad sistla , bo xu , jutai zhou , sam chamberlain\",,1999"|"1999"|1|"domino : databases for moving objects tracking international conference on management of data,\"ouri wolfson , prasad sistla , bo xu , jutai zhou , sam chamberlain\",,    "|"domino databases for moving objects tracking international conference on management of data ouri wolfson prasad sistla bo xu jutai zhou sam chamberlain"|"domino databases for moving objects tracking international conference management data ouri wolfson prasad sistla jutai zhou sam chamberlain"
"21"|20|"\"the need for distributed asynchronous transactions lyman do , prabhu ram , pamela drew 1999\",,international conference on management of data,"|"1999"|1|"\"the need for distributed asynchronous transactions lyman do , prabhu ram , pamela drew     \",,international conference on management of data,"|"the need for distributed asynchronous transactions lyman do prabhu ram pamela drew international conference on management of data"|"the need for distributed asynchronous transactions lyman prabhu ram pamela drew international conference management data"
"22"|21|"\"versions and workspaces in microsoft repository thomas bergstraesser , philip a. bernstein , shankar pal , david shutt international conference on management of data\",,,1999"|"1999"|1|"\"versions and workspaces in microsoft repository thomas bergstraesser , philip a. bernstein , shankar pal , david shutt international conference on management of data\",,,    "|"versions and workspaces in microsoft repository thomas bergstraesser philip a bernstein shankar pal david shutt international conference on management of data"|"versions and workspaces microsoft repository thomas bergstraesser philip bernstein shankar pal david shutt international conference management data"
"23"|22|"\"data integration and warehousing in telecom italia stefano m. trisolini , maurizio lenzerini , daniele nardi\",,international conference on management of data,1999"|"1999"|1|"\"data integration and warehousing in telecom italia stefano m. trisolini , maurizio lenzerini , daniele nardi\",,international conference on management of data,    "|"data integration and warehousing in telecom italia stefano m trisolini maurizio lenzerini daniele nardi international conference on management of data"|"data integration and warehousing telecom italia stefano trisolini maurizio lenzerini daniele nardi international conference management data"
"24"|23|"improving oltp data quality using data warehouse mechanisms international conference on management of data 1999,\"matthias jarke , christoph quix , guido blees , dirk lehmann , gunter michalk , stefan stierl\",,"|"1999"|1|"improving oltp data quality using data warehouse mechanisms international conference on management of data     ,\"matthias jarke , christoph quix , guido blees , dirk lehmann , gunter michalk , stefan stierl\",,"|"improving oltp data quality using data warehouse mechanisms international conference on management of data matthias jarke christoph quix guido blees dirk lehmann gunter michalk stefan stierl"|"improving oltp data quality using data warehouse mechanisms international conference management data matthias jarke christoph quix guido blees dirk lehmann gunter michalk stefan stierl"
"25"|24|"serf : odmg-based generic re-structuring facility 1999,\"e. a. rundensteiner , k. claypool , m. li , l. chen , z. zhang , c. natarajan , j. jin , s. de lima , s. weiner\",international conference on management of data,"|"1999"|1|"serf : odmg-based generic re-structuring facility     ,\"e. a. rundensteiner , k. claypool , m. li , l. chen , z. zhang , c. natarajan , j. jin , s. de lima , s. weiner\",international conference on management of data,"|"serf odmg based generic re structuring facility e a rundensteiner k claypool m li l chen z zhang c natarajan j jin s de lima s weiner international conference on management of data"|"serf odmg based generic structuring facility rundensteiner claypool chen zhang natarajan jin lima weiner international conference management data"
"26"|25|"\"powerbookmarks : a system for personalizable web information organization , sharing , and management wen-syan li , quoc vu , edward chang , divyakant agrawal , kyoji hirata , sougata mukherjea , yi-leh wu , corey bufi , chen-chuan kevin chang , yoshinori hara , reiko ito , yutaka kimura , kezuyuki shimazu , yukiyoshi saito international conference on management of data\",,,1999"|"1999"|1|"\"powerbookmarks : a system for personalizable web information organization , sharing , and management wen-syan li , quoc vu , edward chang , divyakant agrawal , kyoji hirata , sougata mukherjea , yi-leh wu , corey bufi , chen-chuan kevin chang , yoshinori hara , reiko ito , yutaka kimura , kezuyuki shimazu , yukiyoshi saito international conference on management of data\",,,    "|"powerbookmarks a system for personalizable web information organization sharing and management wen syan li quoc vu edward chang divyakant agrawal kyoji hirata sougata mukherjea yi leh wu corey bufi chen chuan kevin chang yoshinori hara reiko ito yutaka kimura kezuyuki shimazu yukiyoshi saito international conference on management of data"|"powerbookmarks system for personalizable web information organization sharing and management wen syan quoc edward chang divyakant agrawal kyoji hirata sougata mukherjea leh corey bufi chen chuan kevin chang yoshinori hara reiko ito yutaka kimura kezuyuki shimazu yukiyoshi saito international conference management data"
"27"|26|"\"the aqua approximate query answering system swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy 1999\",,international conference on management of data,"|"1999"|1|"\"the aqua approximate query answering system swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy     \",,international conference on management of data,"|"the aqua approximate query answering system swarup acharya phillip b gibbons viswanath poosala sridhar ramaswamy international conference on management of data"|"the aqua approximate query answering system swarup acharya phillip gibbons viswanath poosala sridhar ramaswamy international conference management data"
"28"|27|"tam : a system for dynamic transactional activity management international conference on management of data 1999,\"tong zhou , ling liu , calton pu\",,"|"1999"|1|"tam : a system for dynamic transactional activity management international conference on management of data     ,\"tong zhou , ling liu , calton pu\",,"|"tam a system for dynamic transactional activity management international conference on management of data tong zhou ling liu calton pu"|"tam system for dynamic transactional activity management international conference management data tong zhou ling liu calton"
"29"|28|"exploratory mining via constrained frequent set queries 1999,\"raymond ng , laks v. s. lakshmanan , jiawei han , teresa mah\",international conference on management of data,"|"1999"|1|"exploratory mining via constrained frequent set queries     ,\"raymond ng , laks v. s. lakshmanan , jiawei han , teresa mah\",international conference on management of data,"|"exploratory mining via constrained frequent set queries raymond ng laks v s lakshmanan jiawei han teresa mah international conference on management of data"|"exploratory mining via constrained frequent set queries raymond laks lakshmanan jiawei han teresa mah international conference management data"
"30"|29|"\"evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes e. a. rundensteiner , a. koeller , x. zhang , a. j. lee , a. nica , a. van wyk , y. lee 1999\",,international conference on management of data,"|"1999"|1|"\"evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes e. a. rundensteiner , a. koeller , x. zhang , a. j. lee , a. nica , a. van wyk , y. lee     \",,international conference on management of data,"|"evolvable view environment eve non equivalent view maintenance under schema changes e a rundensteiner a koeller x zhang a j lee a nica a van wyk y lee international conference on management of data"|"evolvable view environment eve non equivalent view maintenance under schema changes rundensteiner koeller zhang lee nica van wyk lee international conference management data"
"31"|30|"phoenix : making applications robust international conference on management of data,\"roger barga , david b. lomet\",,1999"|"1999"|1|"phoenix : making applications robust international conference on management of data,\"roger barga , david b. lomet\",,    "|"phoenix making applications robust international conference on management of data roger barga david b lomet"|"phoenix making applications robust international conference management data roger barga david lomet"
"32"|31|"nodose version 2 international conference on management of data 1999,\"brad adelberg , matthew denny\",,"|"2|1999"|2|"nodose version   international conference on management of data     ,\"brad adelberg , matthew denny\",,"|"nodose version international conference on management of data brad adelberg matthew denny"|"nodose version international conference management data brad adelberg matthew denny"
"33"|32|"bringing object-relational technology to the mainstream 1999,\"vishu krishnamurthy , sandeepan banerjee , anil nori\",international conference on management of data,"|"1999"|1|"bringing object-relational technology to the mainstream     ,\"vishu krishnamurthy , sandeepan banerjee , anil nori\",international conference on management of data,"|"bringing object relational technology to the mainstream vishu krishnamurthy sandeepan banerjee anil nori international conference on management of data"|"bringing object relational technology the mainstream vishu krishnamurthy sandeepan banerjee anil nori international conference management data"
"34"|33|"implementing the spirit of sql-99 paul brown,,international conference on management of data,1999"|"99|1999"|2|"implementing the spirit of sql-   paul brown,,international conference on management of data,    "|"implementing the spirit of sql paul brown international conference on management of data"|"implementing the spirit sql paul brown international conference management data"
"35"|34|"managing web data dan suciu 1999,,international conference on management of data,"|"1999"|1|"managing web data dan suciu     ,,international conference on management of data,"|"managing web data dan suciu international conference on management of data"|"managing web data dan suciu international conference management data"
"36"|35|"\"o-o , what 's happening to db2 ? 1999\",\"m. carey , d. chamberlin , d. doole , s. rielau , n. mattos , s. narayanan , b. vance , r. swagerman\",international conference on management of data,"|"2|1999"|2|"\"o-o , what 's happening to db  ?     \",\"m. carey , d. chamberlin , d. doole , s. rielau , n. mattos , s. narayanan , b. vance , r. swagerman\",international conference on management of data,"|"o o what s happening to db m carey d chamberlin d doole s rielau n mattos s narayanan b vance r swagerman international conference on management of data"|"what happening carey chamberlin doole rielau mattos narayanan vance swagerman international conference management data"
"37"|36|"hypertext databases and data mining soumen chakrabarti international conference on management of data,,,1999"|"1999"|1|"hypertext databases and data mining soumen chakrabarti international conference on management of data,,,    "|"hypertext databases and data mining soumen chakrabarti international conference on management of data"|"hypertext databases and data mining soumen chakrabarti international conference management data"
"38"|37|"\"clustering methods for large databases : from the past to the future alexander hinneburg , daniel a. keim international conference on management of data\",,,1999"|"1999"|1|"\"clustering methods for large databases : from the past to the future alexander hinneburg , daniel a. keim international conference on management of data\",,,    "|"clustering methods for large databases from the past to the future alexander hinneburg daniel a keim international conference on management of data"|"clustering methods for large databases from the past the future alexander hinneburg daniel keim international conference management data"
"39"|38|"petabyte databases international conference on management of data,dirk d &#252; llmann,,1999"|"252|1999"|2|"petabyte databases international conference on management of data,dirk d &#   ; llmann,,    "|"petabyte databases international conference on management of data dirk d llmann"|"petabyte databases international conference management data dirk llmann"
"40"|39|"a database perspective on lotus domino/notes c. mohan 1999,,international conference on management of data,"|"1999"|1|"a database perspective on lotus domino/notes c. mohan     ,,international conference on management of data,"|"a database perspective on lotus domino notes c mohan international conference on management of data"|"database perspective lotus domino notes mohan international conference management data"
"41"|40|"microsoft site server ( commerce ed . ) : talk-slides available at the conference international conference on management of data,bassel ojjeh,,1999"|"1999"|1|"microsoft site server ( commerce ed . ) : talk-slides available at the conference international conference on management of data,bassel ojjeh,,    "|"microsoft site server commerce ed talk slides available at the conference international conference on management of data bassel ojjeh"|"microsoft site server commerce talk slides available the conference international conference management data bassel ojjeh"
"42"|41|"e-commerce database issues and experience : ( talk-slides available at at the conference ) anand rajaraman 1999,,international conference on management of data,"|"1999"|1|"e-commerce database issues and experience : ( talk-slides available at at the conference ) anand rajaraman     ,,international conference on management of data,"|"e commerce database issues and experience talk slides available at at the conference anand rajaraman international conference on management of data"|"commerce database issues and experience talk slides available the conference anand rajaraman international conference management data"
"43"|42|"merge replication in microsoft 's sql server 7 brad hammond 1999,,international conference on management of data,"|"7|1999"|2|"merge replication in microsoft 's sql server   brad hammond     ,,international conference on management of data,"|"merge replication in microsoft s sql server brad hammond international conference on management of data"|"merge replication microsoft sql server brad hammond international conference management data"
"44"|43|"in-memory data management for consumer transactions the timesten approach,corporate timesten team,international conference on management of data,1999"|"1999"|1|"in-memory data management for consumer transactions the timesten approach,corporate timesten team,international conference on management of data,    "|"in memory data management for consumer transactions the timesten approach corporate timesten team international conference on management of data"|"memory data management for consumer transactions the timesten approach corporate timesten team international conference management data"
"45"|44|"emc information sharing : direct access to mvs data from unix and nt walt kohler,,international conference on management of data,1999"|"1999"|1|"emc information sharing : direct access to mvs data from unix and nt walt kohler,,international conference on management of data,    "|"emc information sharing direct access to mvs data from unix and nt walt kohler international conference on management of data"|"emc information sharing direct access mvs data from unix and walt kohler international conference management data"
"46"|45|"daytona and the foruth-generation language cymbal,rick greer,international conference on management of data,1999"|"1999"|1|"daytona and the foruth-generation language cymbal,rick greer,international conference on management of data,    "|"daytona and the foruth generation language cymbal rick greer international conference on management of data"|"daytona and the foruth generation language cymbal rick greer international conference management data"
"47"|46|"\"datablitz storage manager : main-memory database performance for critical applications j. baulier , p. bohannon , s. gogate , c. gupta , s. haldar\",,international conference on management of data,1999"|"1999"|1|"\"datablitz storage manager : main-memory database performance for critical applications j. baulier , p. bohannon , s. gogate , c. gupta , s. haldar\",,international conference on management of data,    "|"datablitz storage manager main memory database performance for critical applications j baulier p bohannon s gogate c gupta s haldar international conference on management of data"|"datablitz storage manager main memory database performance for critical applications baulier bohannon gogate gupta haldar international conference management data"
"48"|47|"\"indexing medium-dimensionality data in oracle k. v. ravi kanth , siva ravada , jayant sharma , jay banerjee 1999\",,international conference on management of data,"|"1999"|1|"\"indexing medium-dimensionality data in oracle k. v. ravi kanth , siva ravada , jayant sharma , jay banerjee     \",,international conference on management of data,"|"indexing medium dimensionality data in oracle k v ravi kanth siva ravada jayant sharma jay banerjee international conference on management of data"|"indexing medium dimensionality data oracle ravi kanth siva ravada jayant sharma jay banerjee international conference management data"
"49"|48|"\"storing semistructured data with stored alin deutsch , mary fernandez , dan suciu international conference on management of data 1999\",,,"|"1999"|1|"\"storing semistructured data with stored alin deutsch , mary fernandez , dan suciu international conference on management of data     \",,,"|"storing semistructured data with stored alin deutsch mary fernandez dan suciu international conference on management of data"|"storing semistructured data with stored alin deutsch mary fernandez dan suciu international conference management data"
"50"|49|"efficient geometry-based similarity search of 3d spatial databases,daniel a. keim,international conference on management of data,1999"|"3|1999"|2|"efficient geometry-based similarity search of  d spatial databases,daniel a. keim,international conference on management of data,    "|"efficient geometry based similarity search of d spatial databases daniel a keim international conference on management of data"|"efficient geometry based similarity search spatial databases daniel keim international conference management data"
"51"|50|"a new method for similarity indexing of market basket data 1999,\"charu c. aggarwal , joel l. wolf , philip s. yu\",international conference on management of data,"|"1999"|1|"a new method for similarity indexing of market basket data     ,\"charu c. aggarwal , joel l. wolf , philip s. yu\",international conference on management of data,"|"a new method for similarity indexing of market basket data charu c aggarwal joel l wolf philip s yu international conference on management of data"|"new method for similarity indexing market basket data charu aggarwal joel wolf philip international conference management data"
"52"|51|"\"walrus : a similarity retrieval algorithm for image databases apostol natsev , rajeev rastogi , kyuseok shim international conference on management of data 1999\",,,"|"1999"|1|"\"walrus : a similarity retrieval algorithm for image databases apostol natsev , rajeev rastogi , kyuseok shim international conference on management of data     \",,,"|"walrus a similarity retrieval algorithm for image databases apostol natsev rajeev rastogi kyuseok shim international conference on management of data"|"walrus similarity retrieval algorithm for image databases apostol natsev rajeev rastogi kyuseok shim international conference management data"
"53"|52|"\"shrinking the warehouse update window wilburt juan labio , ramana yerneni , hector garcia-molina\",,international conference on management of data,1999"|"1999"|1|"\"shrinking the warehouse update window wilburt juan labio , ramana yerneni , hector garcia-molina\",,international conference on management of data,    "|"shrinking the warehouse update window wilburt juan labio ramana yerneni hector garcia molina international conference on management of data"|"shrinking the warehouse update window wilburt juan labio ramana yerneni hector garcia molina international conference management data"
"54"|53|"\"dynamat : a dynamic view management system for data warehouses yannis kotidis , nick roussopoulos international conference on management of data 1999\",,,"|"1999"|1|"\"dynamat : a dynamic view management system for data warehouses yannis kotidis , nick roussopoulos international conference on management of data     \",,,"|"dynamat a dynamic view management system for data warehouses yannis kotidis nick roussopoulos international conference on management of data"|"dynamat dynamic view management system for data warehouses yannis kotidis nick roussopoulos international conference management data"
"55"|54|"\"bottom-up computation of sparse and iceberg cube kevin beyer , raghu ramakrishnan\",,international conference on management of data,1999"|"1999"|1|"\"bottom-up computation of sparse and iceberg cube kevin beyer , raghu ramakrishnan\",,international conference on management of data,    "|"bottom up computation of sparse and iceberg cube kevin beyer raghu ramakrishnan international conference on management of data"|"bottom computation sparse and iceberg cube kevin beyer raghu ramakrishnan international conference management data"
"56"|55|"\"client-site query extensions tobias mayr , praveen seshadri 1999\",,international conference on management of data,"|"1999"|1|"\"client-site query extensions tobias mayr , praveen seshadri     \",,international conference on management of data,"|"client site query extensions tobias mayr praveen seshadri international conference on management of data"|"client site query extensions tobias mayr praveen seshadri international conference management data"
"57"|56|"data management issues in electronic commerce m. tamer &#214; zsu,,international conference on management of data,1999"|"214|1999"|2|"data management issues in electronic commerce m. tamer &#   ; zsu,,international conference on management of data,    "|"data management issues in electronic commerce m tamer zsu international conference on management of data"|"data management issues electronic commerce tamer zsu international conference management data"
"58"|57|"\"of crawlers , portals , mice , and men : is there more to mining the web ? 1999\",\"minos n. garofalakis , sridhar ramaswamy , rajeev rastogi , kyuseok shim\",international conference on management of data,"|"1999"|1|"\"of crawlers , portals , mice , and men : is there more to mining the web ?     \",\"minos n. garofalakis , sridhar ramaswamy , rajeev rastogi , kyuseok shim\",international conference on management of data,"|"of crawlers portals mice and men is there more to mining the web minos n garofalakis sridhar ramaswamy rajeev rastogi kyuseok shim international conference on management of data"|"crawlers portals mice and men there more mining the web minos garofalakis sridhar ramaswamy rajeev rastogi kyuseok shim international conference management data"
"59"|58|"\"honey , i shrunk the database : footprint , mobility , and beyond praveen seshadri\",,international conference on management of data,1999"|"1999"|1|"\"honey , i shrunk the database : footprint , mobility , and beyond praveen seshadri\",,international conference on management of data,    "|"honey i shrunk the database footprint mobility and beyond praveen seshadri international conference on management of data"|"honey shrunk the database footprint mobility and beyond praveen seshadri international conference management data"
"60"|59|"a layered architecture for querying dynamic web content 1999,\"hasan davulcu , juliana freire , michael kifer , i. v. ramakrishnan\",international conference on management of data,"|"1999"|1|"a layered architecture for querying dynamic web content     ,\"hasan davulcu , juliana freire , michael kifer , i. v. ramakrishnan\",international conference on management of data,"|"a layered architecture for querying dynamic web content hasan davulcu juliana freire michael kifer i v ramakrishnan international conference on management of data"|"layered architecture for querying dynamic web content hasan davulcu juliana freire michael kifer ramakrishnan international conference management data"
"61"|60|"\"automatic discovery of language models for text databases jamie callan , margaret connell , aiqun du international conference on management of data 1999\",,,"|"1999"|1|"\"automatic discovery of language models for text databases jamie callan , margaret connell , aiqun du international conference on management of data     \",,,"|"automatic discovery of language models for text databases jamie callan margaret connell aiqun du international conference on management of data"|"automatic discovery language models for text databases jamie callan margaret connell aiqun international conference management data"
"62"|61|"\"record-boundary discovery in web documents d. w. embley , y. jiang , y.-k . ng\",,international conference on management of data,1999"|"1999"|1|"\"record-boundary discovery in web documents d. w. embley , y. jiang , y.-k . ng\",,international conference on management of data,    "|"record boundary discovery in web documents d w embley y jiang y k ng international conference on management of data"|"record boundary discovery web documents embley jiang international conference management data"
"63"|62|"\"query rewriting for semistructured data yannis papakonstantinou , vasilis vassalos\",,international conference on management of data,1999"|"1999"|1|"\"query rewriting for semistructured data yannis papakonstantinou , vasilis vassalos\",,international conference on management of data,    "|"query rewriting for semistructured data yannis papakonstantinou vasilis vassalos international conference on management of data"|"query rewriting for semistructured data yannis papakonstantinou vasilis vassalos international conference management data"
"64"|63|"\"computing capabilities of mediators ramana yerneni , chen li , hector garcia-molina , jeffrey ullman international conference on management of data\",,,1999"|"1999"|1|"\"computing capabilities of mediators ramana yerneni , chen li , hector garcia-molina , jeffrey ullman international conference on management of data\",,,    "|"computing capabilities of mediators ramana yerneni chen li hector garcia molina jeffrey ullman international conference on management of data"|"computing capabilities mediators ramana yerneni chen hector garcia molina jeffrey ullman international conference management data"
"65"|64|"high speed on-line backup when using logical log operations 2000,david b. lomet,international conference on management of data,"|"2000"|1|"high speed on-line backup when using logical log operations     ,david b. lomet,international conference on management of data,"|"high speed on line backup when using logical log operations david b lomet international conference on management of data"|"high speed line backup when using logical log operations david lomet international conference management data"
